"filename", "language", "Markdown", "YAML", "TypeScript React", "Shell Script", "TypeScript", "XML", "CSS", "HTML", "JSON", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/rolesSlice.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 58
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/tasksSlice.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 63
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/userSlice.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 46
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/store/index.tsx", "TypeScript React", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/types/index.d.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/Homepage.tsx", "TypeScript React", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 139
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/Profile.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AddAdminDepartment.tsx", "TypeScript React", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 138
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AddAdminDesignation.tsx", "TypeScript React", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 159
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AddAdminEmployees.tsx", "TypeScript React", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 187
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AddAdminEvaluators.tsx", "TypeScript React", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 187
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AddAdminTasks.tsx", "TypeScript React", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 162
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminDashboard.tsx", "TypeScript React", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 74
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminDepartments.tsx", "TypeScript React", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminDesignations.tsx", "TypeScript React", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 81
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminEmployees.tsx", "TypeScript React", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 86
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminEvaluations.tsx", "TypeScript React", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminEvaluators.tsx", "TypeScript React", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 90
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminPage.tsx", "TypeScript React", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 116
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/views/admin/AdminTasks.tsx", "TypeScript React", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 129
